"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"14","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"15","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"16","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"17","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Unclear. They appear to use multiple tree species. Feed on fungus; whether of one or many species was not specified.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3903.pdf)","Obligate relationships","No"
"19","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Species is sensitive to warm water temperatures and tends to avoid lower portions of river (and salt water areas) during hot summer months.  As sea level rises and temperatures rise the portion of the river with suitable cool water refuges may shrink.  Warm summer temperatures (above 28oC) may severely limit available juvenile rearing habitat in some southern rivers. 
In summer, juvenile habitat in the Altamaha River was limited mainly to one cool, deep water refuge","NatureServe, FWS recovery plan (http://www.nmfs.noaa.gov/pr/pdfs/recovery/sturgeon_shortnose.pdf)","Temperature","Yes"
"20","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species appears to be able to use salt and freshwater, but seeks out upper reaches of river habitat and access to freshwater springs in southern streams during hot months.  Overuse of these springs or drought conditions may reduce availability of this thermal refuge","FWS recovery plan (http://www.nmfs.noaa.gov/pr/pdfs/recovery/sturgeon_shortnose.pdf)","Hydrology","Yes"
"21","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Species is sensitive to disturbance in river flow.","FWS recovery plan (http://www.nmfs.noaa.gov/pr/pdfs/recovery/sturgeon_shortnose.pdf)","Disturbance","Yes"
"22","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species has been restricted in its annual upriver breeding migration in past due to damming.","FWS recovery plan (http://www.nmfs.noaa.gov/pr/pdfs/recovery/sturgeon_shortnose.pdf)","Isolation","Yes"
"23","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"24","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Sensitive to changes in dissolved oxygen concentrations, especially when water temperature rises. May be less tolerant of low dissolved oxygen levels in high ambient water temperatures and show signs of stress in water temperatures higher than 28oC . At these temperatures, concomitant low levels of dissolved oxygen may be lethal.","NatureServe","Chemistry","Yes"
"25","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","Species tends to migrate upstream for spawning based on a certain spring temp (8 degrees C), but also tries to avoid times of high flow.  If spring temperatures rise and cue the species to migrate while spring flow is high, this could ve  detrimental to the energy reserves of individuals.","FWS recovery plan (http://www.nmfs.noaa.gov/pr/pdfs/recovery/sturgeon_shortnose.pdf)","Phenology","Yes"
"26","Acipenser brevirostrum","Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"28","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","They spawn in moderately flowing water (46-76 cm/s) in deep parts of large rivers. Sturgeon eggs are highly adhesive and are deposited on bottom substrate, usually on hard surfaces (e.g., cobble). It is likely that cold, clean water is important for proper larval development. ","NMFs fact sheet (http://www.nmfs.noaa.gov/pr/species/fish/atlanticsturgeon.htm)","Temperature","Yes"
"29","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Needs interplay of freshwater river system and estuary habitat.","listing petition (http://www.nmfs.noaa.gov/pr/pdfs/species/petition_atlanticsturgeon_nrdc.pdf)","Hydrology","Yes"
"30","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"31","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","","","Isolation","No"
"32","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"33","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Sensitive to hypoxia.","listing petition (http://www.nmfs.noaa.gov/pr/pdfs/species/petition_atlanticsturgeon_nrdc.pdf)","Chemistry","Yes"
"34","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"35","Acipenser oxyrinchus oxirinchus","Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"37","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"38","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"39","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"40","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""White sturgeons have been detrimentally impacted by physical and ecological barriers and population fragmentation caused by dams and their impoundments.""","NatureServe","Isolation","Yes"
"41","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"42","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"43","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"44","Acipenser transmontanus","Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"46","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"47","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"48","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Potential threat - ""a severe tropical storm or tidal wave could decimate the small population (Matthews and Moseley 1990).""","Natureserve","Disturbance","Yes"
"49","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""Resident endemic of Nihoa Island, northwestern Hawaiian Islands; total area of island is 63 hectares (Morin et al. 1997). . . Suitable habitat on Nihoa makes up 32-40.5 hectares (Morin et al. 1997).""","Natureserve","Isolation","Yes"
"50","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","""Potential threats include predators such as rats (should they be introduced) and competitors such as ants, avian diseases that could be brought in by migrating birds.""  But this is not a current pressure.","Natureserve","Injurious species","No"
"51","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"52","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"53","Acrocephalus familiaris kingi","Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"55","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"56","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"57","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Upland and wetland habitat threatened by fire.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3251.pdf)","Disturbance","No"
"58","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species restricted to the islands of Guam (now extinct there), Saipan, and Alamagan.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3251.pdf)","Isolation","Yes"
"59","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Species' wetland habitat threatened by invasive introduced plants and predation by cats, rats, etc., as well as diseases like West Nile Virus and avian influenza.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3251.pdf)","Injurious species","Yes"
"60","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"61","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"62","Acrocephalus luscinia","Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"64","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"65","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""All of the caves may be threatened by prolonged drought, brought about either by global climatic changes or by local alteration of the vegetation that may reduce rainfall or otherwise result in reduced soil moisture content. Prolonged drought may desiccate the cave interior, making it less accommodating to cave-dwelling animals."" 
(Howarth 1983).","recovery plan (http://www.fws.gov/pacific/ecoservices/endangered/recovery/documents/kauaicavewolfspider.pdf)","Hydrology","Yes"
"66","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"67","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""Suitable habitat currently occupies less than 7.5 square kilometers (2000 acres)"" on the island of Kauai. Development now surrounds both inhabited caves.","Natureserve","Isolation","Yes"
"68","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","""There is good evidence to suggest that Adelocasa anops is preyed upon by the non-native brown  violin spider which also feeds on resident arthropods that otherwise serve as prey for the Kauai cave wolf spider.  The introduced lesser brown scorpion (Isometrus maculatus) and centipedes (Scolopendra spp.) are also a concern.""","recovery plan (http://www.fws.gov/pacific/ecoservices/endangered/recovery/documents/kauaicavewolfspider.pdf)","Injurious species","Yes"
"69","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"70","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"71","Adelocosa anops","Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"73","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"74","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"75","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"76","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""Currently, chachaguak populations are known only to occur on the islands of Guam, Aguiguan, and Saipan.""","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3352.pdf)","Isolation","Yes"
"77","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","The brown treesnake, monitor lizards and feral cats ""may prey on chachaguak opportunistically on all of the islands. The black drongo (Dicrurus macrocercus), a bird species introduced to Guam and Rota, was also observed preying on chachaguak on Guam (Perez 1968) and may have been a factor in their extirpation on Rota.  Cockroaches and Mud-dauber wasps also decrease nesting success.""","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3352.pdf)","Injurious species","Yes"
"78","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"79","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"80","Aerodramus vanikorensis bartschi","Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"82","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"83","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"84","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"85","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""The species is primarily limited to . . . Mona and Monito islands . . and three populations in eastern, southern, and southwestern Puerto 
Rico.""","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3603.pdf)","Isolation","Yes"
